Ground Trouth,Dist0,Fate1,Dist1,Fate2,Dist2,Fate3,Dist3,Fate4,Dist4,Fate5,Dist5,Fate6,Dist6,Fate7,Dist7
1.0,0.0,1.0,1.0171580988776243,1.0,1.0339239950153176,1.0,1.0467710748472667,1.0,1.2170960259510037,1.0,1.237357357654259,1.0,1.2408062966301967,1.0,1.3265086507460444
0.0,0.0,0.0,0.997404884693206,0.0,1.047983262141256,0.0,1.5107708290924733,0.0,1.9075995969133772,0.0,1.9507449373182026,0.0,1.9881678440015347,0.0,2.0423380545750853
0.0,0.0,0.0,1.1224992646029504,0.0,1.1366999133258828,0.0,1.1887222166485552,0.0,1.8806702929344379,0.0,2.0514837257095744,0.0,2.091559979806091,0.0,2.0928056739235505
0.0,0.0,0.0,1.0103015780723326,0.0,1.021294654855249,1.0,1.1092748768791618,0.0,1.1368434893484716,1.0,1.1460518091362217,0.0,1.266915864550196,0.0,1.3787844792893538
1.0,0.0,0.0,1.0222570725751308,1.0,1.0613034713192737,1.0,1.1156683493544426,0.0,1.1318977094289142,1.0,1.1909944705153441,0.0,1.5330383895933963,0.0,1.5991923315546124
1.0,0.0,1.0,1.0338925732340827,1.0,1.0457506336664169,1.0,1.0848867741498773,1.0,1.1065209234805453,1.0,1.1323295403510887,1.0,1.2182404951294135,1.0,1.2413711562992302
1.0,0.0,1.0,1.0390220998978923,0.0,1.0644561682973221,1.0,1.071842911397814,1.0,1.0980658729646136,1.0,1.1672795469081572,0.0,1.2344221614791584,0.0,1.6437447987660012
0.0,0.0,0.0,1.0641944153701186,0.0,1.2539599584653411,0.0,1.2860808082485944,0.0,1.7245861446717512,0.0,1.769789993851599,0.0,1.9328131124446468,1.0,2.245895628791503
1.0,0.0,1.0,0.9918275313391226,0.0,1.0081722758798122,1.0,1.0359988505241051,0.0,1.1460518091362217,1.0,1.160792357154214,0.0,1.1622573871436899,1.0,1.4187517664306402
1.0,0.0,0.0,1.0426648035910362,1.0,1.1164247720629774,1.0,1.1276042112333804,1.0,1.1292355836130867,1.0,1.1909944705153441,1.0,1.2640694355620905,0.0,1.3732497184023482
0.0,0.0,0.0,0.9046669823321244,0.0,1.0264823015803815,0.0,1.062843487345761,0.0,1.0875360482996497,1.0,1.5775615597241044,1.0,1.8268826574849006,1.0,1.8318616796573202
0.0,0.0,0.0,0.9545859545993184,0.0,0.9873180406862581,0.0,1.0896205153676028,0.0,1.1224992646029504,0.0,1.5441000020508302,0.0,1.783294955125655,0.0,1.8756278098022543
1.0,0.0,1.0,1.0631346598854758,1.0,1.091530031121862,1.0,1.1193151323597728,1.0,1.1493616616686553,1.0,1.1655140408451474,1.0,1.2170960259510037,1.0,1.7142504216471113
1.0,0.0,1.0,0.9143745721892799,0.0,0.9562604844528328,0.0,1.0177455654330243,1.0,1.071842911397814,1.0,1.1047468518845693,0.0,1.166863517968336,1.0,1.6150274302073115
1.0,0.0,1.0,0.8386151193667225,1.0,0.9460152768990544,1.0,0.9509432209023386,1.0,0.9972696232601534,1.0,1.0195454560082604,1.0,1.02823077643676,1.0,1.484191163725531
0.0,0.0,0.0,0.8534536497297007,0.0,0.8919547209698098,0.0,0.9309060315593503,0.0,1.3787844792893538,0.0,1.5049481785369176,0.0,1.595798601530548,0.0,1.7970966460757136
1.0,0.0,1.0,1.0082548740000865,1.0,1.024536389647774,1.0,1.0467711281458278,1.0,1.0473086581738122,1.0,1.0653417181963332,1.0,1.1796392053041969,1.0,1.3873752804245518
0.0,0.0,0.0,1.083915683138159,0.0,1.1566326983883524,0.0,1.1880115159706806,1.0,1.1962808368663629,0.0,1.2710236400441102,0.0,1.6202098925604598,0.0,1.8446461073564697
0.0,0.0,0.0,1.1826058612342834,0.0,1.2211030754392058,0.0,1.2394537739841076,0.0,1.843948505221231,0.0,2.004525181689205,0.0,2.13228998137468,1.0,2.30225532226752
0.0,0.0,0.0,0.9886182209187762,0.0,1.0699371397298878,0.0,1.0779607405910498,0.0,1.0871072459278692,1.0,1.1865796744547898,0.0,1.676378443924298,0.0,1.8607102288633797
0.0,0.0,0.0,1.1346236400607812,0.0,1.1791425357558596,0.0,1.322208058694101,0.0,1.6915335152839495,0.0,1.7852534749291493,0.0,2.016094664253632,0.0,2.157965189359885
0.0,0.0,0.0,0.889460633631363,0.0,0.9943577502889539,0.0,1.0678874013397195,0.0,1.0837306213442768,0.0,1.1318961646801897,0.0,1.3165494772949033,0.0,1.7168820499606112
0.0,0.0,0.0,1.0029096751623574,0.0,1.0223637984533398,1.0,1.068234852308875,0.0,1.1441182689451386,1.0,1.1856845250553758,0.0,1.2112177200980832,0.0,1.6915335152839495
1.0,0.0,0.0,0.9935814004235451,1.0,1.0582892555499814,0.0,1.084200288840166,1.0,1.0978345321838914,0.0,1.189955578777349,1.0,1.2640694355620905,0.0,1.8430552928308084
0.0,0.0,1.0,0.93359098612254,0.0,0.9602926486192763,1.0,0.9634173434067274,0.0,0.9973677195637846,0.0,1.050265889241224,1.0,1.421803628368419,0.0,1.5441000020508302
0.0,0.0,0.0,0.9714825807990416,1.0,1.0222570725751308,0.0,1.0756959352339177,0.0,1.114423798887192,0.0,1.1830386083767246,1.0,1.3732497184023482,0.0,1.8440172854955912
0.0,0.0,0.0,1.0937638701921508,0.0,1.1451840839597889,0.0,1.2095655487225314,1.0,1.2344221614791584,1.0,1.3150647129951516,0.0,2.0238165723667563,1.0,2.024595022043986
1.0,0.0,1.0,0.8686217311976936,1.0,0.8783089056261604,1.0,0.8911862860472765,1.0,0.929877992987187,1.0,0.9904745510701063,1.0,1.272906998753984,1.0,1.6015101998867896
1.0,0.0,0.0,0.9384158107845786,1.0,0.9469667823794392,1.0,0.960004112598271,1.0,1.0467711281458278,1.0,1.0756367863932994,1.0,1.4280912417315612,0.0,1.611784946885415
1.0,0.0,1.0,0.9125172558777608,1.0,0.9272262947896083,1.0,0.9460152768990544,1.0,1.0430899173329327,1.0,1.0768939660354835,1.0,1.0865280556393733,1.0,1.6070326338648637
0.0,0.0,0.0,0.9893669329113323,0.0,1.062843487345761,0.0,1.1308572358386164,0.0,1.626420055638829,0.0,1.6330223335276364,0.0,1.7852534749291493,1.0,2.0763544915588588
0.0,0.0,0.0,0.7790669566944105,0.0,0.8919547209698098,0.0,1.0103015780723326,0.0,1.035868364281622,0.0,1.1455406862026,1.0,1.1622573871436899,0.0,1.3425056379030011
1.0,0.0,0.0,0.9543964360257237,0.0,1.0099336258020157,1.0,1.1107404346616108,1.0,1.1168800660874614,0.0,1.1419996698530237,0.0,1.1962808368663629,1.0,1.6406959933644314
0.0,0.0,0.0,1.1235004387800784,1.0,1.1318977094289142,0.0,1.1826058612342834,0.0,1.1830386083767246,0.0,1.1901993426054949,0.0,1.456370604876263,1.0,1.6393409385269235
0.0,0.0,0.0,1.0875360482996497,1.0,1.1577450774396882,0.0,1.2147081026863935,0.0,1.3366452373044684,0.0,1.4079987114688615,0.0,1.8344327058241974,0.0,2.0118685364835285
1.0,0.0,0.0,0.9345270452406803,1.0,0.9842767326637154,1.0,1.0359988505241051,1.0,1.1107404346616108,1.0,1.1544841198094233,1.0,1.3475225933276513,1.0,1.5020436724734925
0.0,0.0,0.0,1.0385959644258025,0.0,1.105037729006324,0.0,1.114423798887192,0.0,1.1386010874599084,0.0,1.248377819617403,1.0,1.8430552928308084,1.0,2.024337608618223
1.0,0.0,1.0,1.0582892555499814,1.0,1.0772177679584094,1.0,1.0942298778912034,1.0,1.1292355836130867,1.0,1.1655140408451474,1.0,1.1878333993394803,0.0,1.6889856639850984
1.0,0.0,1.0,0.9827623343193828,1.0,1.006291802590868,1.0,1.02823077643676,1.0,1.0372097895829449,1.0,1.0430899173329327,1.0,1.0701312045216151,1.0,1.5996574902530727
0.0,0.0,0.0,0.963649243957374,0.0,1.174409798900404,0.0,1.2860808082485944,0.0,1.7701698552292153,0.0,1.9356497378591768,0.0,2.0571742225930136,1.0,2.582273918294028
1.0,0.0,1.0,1.0262092934226597,0.0,1.0823999120466092,1.0,1.099161142802029,0.0,1.1064446128221281,1.0,1.1323295403510887,0.0,1.1856845250553758,1.0,1.576878126669622
1.0,0.0,1.0,0.9904745510701063,1.0,0.9948117664908271,1.0,1.0390220998978923,1.0,1.05505449705801,1.0,1.0606406574775329,1.0,1.0977098552217306,1.0,1.6674673734929188
0.0,0.0,0.0,1.1046319583637236,0.0,1.1386010874599084,0.0,1.1406488909629735,1.0,1.189955578777349,0.0,1.7245861446717512,0.0,1.915857272583898,1.0,1.9836921585663914
1.0,0.0,1.0,0.8199362127901341,1.0,0.8776327023015646,1.0,0.9841484519923863,1.0,1.0203741357905498,1.0,1.0338925732340827,0.0,1.421803628368419,1.0,1.5598219070258414
1.0,0.0,0.0,0.9634173434067274,1.0,1.0203741357905498,1.0,1.0398149722821393,1.0,1.0606406574775329,1.0,1.142942625898254,1.0,1.2076855017782182,0.0,1.3035825191843393
0.0,0.0,1.0,0.9561487035251247,0.0,1.0251249723297375,1.0,1.0321962147286388,0.0,1.0691794755344532,0.0,1.0699371397298878,1.0,1.1291062540162509,0.0,1.687432649482781
0.0,0.0,0.0,1.0754221894981897,1.0,1.0823999120466092,0.0,1.083358786629414,0.0,1.0945593641832636,0.0,1.1666450417885503,0.0,1.2112177200980832,1.0,1.762347818513448
1.0,0.0,1.0,0.9535941970711512,1.0,0.9770456912748405,1.0,0.9815584307187573,1.0,1.0082548740000865,1.0,1.1065209234805453,1.0,1.4280912417315612,0.0,1.5487772963163846
1.0,0.0,1.0,0.9550467083902816,1.0,0.971188104400182,1.0,1.024536389647774,1.0,1.0405781605622029,1.0,1.0701312045216151,1.0,1.0985732225682965,1.0,1.6294457608252524
0.0,0.0,0.0,0.9882420949538799,1.0,1.078696249244474,0.0,1.0937638701921508,0.0,1.1676570084186093,0.0,1.783294955125655,1.0,1.8687149816340891,1.0,2.063447588900612
